program_code,program_name,program_title,pid,id,catalog_url
BSC-BESC,Biology and Earth Sciences,Biology and Earth Sciences (Bachelor of Science - Combined Major),S1qLaQCf4,677874e02740d9c323c76892,https://www.uvic.ca/calendar/undergrad/index.php#/programs/S1qLaQCf4
BSC-BESD,Biology and Earth Sciences (Honours),Biology and Earth Sciences (Bachelor of Science - Combined Honours),S1qLpX0MV,677875953076810114a74ea2,https://www.uvic.ca/calendar/undergrad/index.php#/programs/S1qLpX0MV
BSC-CGSC,Chemistry and Earth Sciences,Chemistry and Earth Sciences (Bachelor of Science - Combined Major),Hy6Ia7CGN,6778746b660e11c9a58a2cad,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Hy6Ia7CGN
BSC-CGSD,Chemistry and Earth Sciences (Honours),Chemistry and Earth Sciences (Bachelor of Science - Combined Honours),B1aUamCGV,677873b3736dc92f95e5981f,https://www.uvic.ca/calendar/undergrad/index.php#/programs/B1aUamCGV
BSC-CSSC,Chemistry and Ocean Sciences,Chemistry and Ocean Sciences (Bachelor of Science - Combined Major),HJ1xpFYIH,677c2334cc729861363ca8af,https://www.uvic.ca/calendar/undergrad/index.php#/programs/HJ1xpFYIH
BSC-CSSD,Chemistry and Ocean Sciences (Honours),Chemistry and Ocean Sciences (Bachelor of Science - Combined Honours),Skmk6dt8r,677c24cc616e670f1826a290,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Skmk6dt8r
BSC-CLSC,Climate Science,Climate Science (Bachelor of Science - Combined Major),Hk0--QRAP,64a742f71b3317315e26ae98,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Hk0--QRAP
BSC-CLSD,Climate Science (Honours),Climate Science (Bachelor of Science - Combined Honours),H1dHTmAAP,64a742f91822a8b004067912,https://www.uvic.ca/calendar/undergrad/index.php#/programs/H1dHTmAAP
BSC-EOSM,Earth Sciences,Earth Sciences (Bachelor of Science - Major),SkxTLa7AfV,67787afa40d36eb000a539c8,https://www.uvic.ca/calendar/undergrad/index.php#/programs/SkxTLa7AfV
MNR-ESC,Earth Sciences (General),Earth Sciences (General),Hkxyq67AzE,6781a708736dc92f952705c9,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Hkxyq67AzE
BSC-EOSH,Earth Sciences (Honours),Earth Sciences (Bachelor of Science - Honours),Hk08T7RG4,677845b06669eebb0f735f09,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Hk08T7RG4
MNR-ESCX,Earth Sciences (Minor),Earth Sciences (Minor),Sk0wHXyDJl,6781a5665f11e9c2f8ee413b,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Sk0wHXyDJl
MNR-OSC,Ocean Sciences (Minor),Ocean Sciences (Minor),Hk1caX0zV,61e05eaf560b8d3084b19651,https://www.uvic.ca/calendar/undergrad/index.php#/programs/Hk1caX0zV
BSC-GOSC,Physical Geography and Earth and Ocean Sciences,Physical Geography and Earth and Ocean Sciences (Bachelor of Science - Combined Major),SkMPTX0M4,6781b3d58109d94a5dfb0207,https://www.uvic.ca/calendar/undergrad/index.php#/programs/SkMPTX0M4
BSC-GOSD,Physical Geography and Earth and Ocean Sciences (Honours),Physical Geography and Earth and Ocean Sciences (Bachelor of Science - Combined Honours),H1QwamAzE,6781b4f78109d94a5dfb0cd6,https://www.uvic.ca/calendar/undergrad/index.php#/programs/H1QwamAzE
BSC-PESC,Physics and Earth Sciences (Geophysics),Physics and Earth Sciences (Geophysics) (Bachelor of Science - Combined Major),rylJwpXCME,67787b842740d9c323c79df6,https://www.uvic.ca/calendar/undergrad/index.php#/programs/rylJwpXCME
BSC-PESD,Physics and Earth Sciences (Geophysics) (Honours),Physics and Earth Sciences (Geophysics) (Bachelor of Science - Combined Honours),B1kw6QAfV,677878e66669eebb0f750885,https://www.uvic.ca/calendar/undergrad/index.php#/programs/B1kw6QAfV
BSC-OPSC,Physics and Ocean-Atmosphere Sciences,Physics and Ocean-Atmosphere Sciences (Bachelor of Science - Combined Major),BygDaXAfV,677c25c2771b972378c3503d,https://www.uvic.ca/calendar/undergrad/index.php#/programs/BygDaXAfV
BSC-OPSD,Physics and Ocean-Atmosphere Sciences (Honours),Physics and Ocean-Atmosphere Sciences (Bachelor of Science - Combined Honours),S1evaXCzE,67787c712740d9c323c7a394,https://www.uvic.ca/calendar/undergrad/index.php#/programs/S1evaXCzE
